SCREEN_NAME,NATIONALITY,NAME
Ladaktusson,Sweden,ADAKTUSSON Lars
Isa_Adinolfi,Italy,ADINOLFI Isabella
marcoaffronte,Italy,AFFRONTE Marco
AgeaLaura,Italy,AGEA Laura
ClaraAguilera7,Spain,AGUILERA GARCÍA Clara Eugenia
DanielaAiuto,Italy,AIUTO Daniela
Tim_Aker,United Kingdom,AKER Tim
MarinaAlbiol,Spain,ALBIOL GUZMÁN Marina
JanAlbrecht,Germany,ALBRECHT Jan Philipp
louis_aliot,France,ALIOT Louis
MAlliotMarie,France,ALLIOT-MARIE Michèle
LucyAndersonMEP,United Kingdom,ANDERSON Lucy
M_AndersonSF,United Kingdom,ANDERSON Martina
MaxAndersson,Sweden,ANDERSSON Max
EricAndrieuEU,France,ANDRIEU Eric
Andrikiene,Lithuania,ANDRIKIENĖ Laima Liucija
androulakisnick,Greece,ANDROULAKIS Nikos
gannemans,Belgium,ANNEMANS Gerolf
Mariearenaps,Belgium,ARENA Maria
PASCALARIMONT,Belgium,ARIMONT Pascal
MCArnautu,France,ARNAUTU Marie-Christine
JonathanArnott,United Kingdom,ARNOTT Jonathan
JeanArthuis,France,ARTHUIS Jean
RichardAshMEP,United Kingdom,ASHWORTH Richard
Janice4Brexit,United Kingdom,ATKINSON Janice
MargreteAuken,Denmark,AUKEN Margrete
petras_petras,Lithuania,AUŠTREVIČIUS Petras
IAyalaSender,Spain,AYALA SENDER Inés
ayuso_pilar,Spain,AYUSO Pilar
hans_van_baalen,Netherlands,BAALEN Johannes Cornelis van
BalasGuillaume,France,BALAS Guillaume
balcytis,Lithuania,BALČYTIS Zigmantas
buba0769,Germany,BALZ Burkhard
NBarekov,Bulgaria,BAREKOV Nikolay
AmjadBashirMEP,United Kingdom,BASHIR Amjad
GerardBattenMEP,United Kingdom,BATTEN Gerard
nicolasbayfn,France,BAY Nicolas
HuguesBayet,Belgium,BAYET Hugues
catherinemep,United Kingdom,BEARDER Catherine
beatrizbecerrab,Spain,BECERRA BASTERRECHEA Beatriz
beghin_t,Italy,BEGHIN Tiziana
BasBelderMEP,Netherlands,BELDER Bas
IvoBelet,Belgium,BELET Ivo
BendtEU,Denmark,BENDTSEN Bendt
brandobenifei,Italy,BENIFEI Brando
xabierbenito,Spain,BENITO ZILUAGA Xabier
PervencheBeres,France,BERÈS Pervenche
Jbergeronmep,France,BERGERON Joëlle
GoffredoBettini,Italy,BETTINI Goffredo Maria
IzaskunBilbaoB,Spain,BILBAO BARANDICA Izaskun
DominiqueBilde,France,BILDE Dominique
MalinBjork_EU,Sweden,BJÖRK Malin
pepeblancoEP,Spain,BLANCO LÓPEZ José
Franc_Bogovic,Slovenia,BOGOVIČ Franc
simonabonafe,Italy,BONAFÈ Simona
MichalBoni,Poland,BONI Michał
MarioBorghezio,Italy,BORGHEZIO Mario
borrellidavid,Italy,BORRELLI David
BiljanaBorzan,Croatia,BORZAN Biljana
VictorBostinaru,Romania,BOŞTINARU Victor
josebove,France,BOVÉ José
LNBDublin,Ireland,BOYLAN Lynn
PaulBrannenNE,United Kingdom,BRANNEN Paul
mercedesbresso,Italy,BRESSO Mercedes
renatabriano,Italy,BRIANO Renata
SteeveBriois,France,BRIOIS Steeve
ElmarBrok_MEP,Germany,BROK Elmar
Dr_KlausBuchner,Germany,BUCHNER Klaus
MEPDanielBuda,Romania,BUDA Daniel
UdoBullmann,Germany,BULLMANN Udo
bueti,Germany,BÜTIKOFER Reinhard
JerzyBuzek,Poland,BUZEK Jerzy
SoledadCabezon,Spain,CABEZÓN RUIZ Soledad
AlainCadec,France,CADEC Alain
EnriqueCalvet,Spain,CALVET CHAMBON Enrique
WimvandeCamp,Netherlands,CAMP Wim van de
DCBMEP,United Kingdom,CAMPBELL BANNERMAN David
NicolaCaputo,Italy,CAPUTO Nicola
mattcarthy,Ireland,CARTHY Matt
JamesJimCarver,United Kingdom,CARVER James
DavidCasaMEP,Malta,CASA David
caspary,Germany,CASPARY Daniel
FMCastaldo,Italy,CASTALDO Fabio Massimo
delcastillop,Spain,CASTILLO VERA Pilar del
JeanMarieCAVADA,France,CAVADA Jean-Marie
L_Cesa,Italy,CESA Lorenzo
charanzova,Czech Republic,CHARANZOVÁ Dita
a_chauprade,France,CHAUPRADE Aymeric
NChildersMEP,Ireland,CHILDERS Nessa
CaterinaChinnic,Italy,CHINNICI Caterina
NikosChountis,Greece,CHOUNTIS Nikolaos
OleEU,Denmark,CHRISTENSEN Ole
LefChristoforou,Cyprus,CHRISTOFOROU Lefteris
Chrysogonos_K,Greece,CHRYSOGONOS Kostas
SalvoCicu,Italy,CICU Salvatore
AngeloCiocca,Italy,CIOCCA Angelo
Alberto_Cirio,Italy,CIRIO Alberto
DeirdreCluneMEP,Ireland,CLUNE Deirdre
DavidCoburnUKip,United Kingdom,COBURN David
CarlosCoelhoPE,Portugal,COELHO Carlos
Cofferati,Italy,COFFERATI Sergio Gaetano
Jane_CollinsMEP,United Kingdom,COLLINS Jane
comilara,Italy,COMI Lara
ComodiniCachia,Malta,COMODINI CACHIA Therese
AnnaMariaCB,Sweden,CORAZZA BILDT Anna Maria
RCorbettMEP,United Kingdom,CORBETT Richard
ignaziocorrao,Italy,CORRAO Ignazio
SilviaCostaEU,Italy,COSTA Silvia
Caninator,Spain,COUSO PERMUY Javier
cozzolino62,Italy,COZZOLINO Andrea
MepMCramer,Germany,CRAMER Michael
